TF name		Call	methyl-SELEX call	bisulfite call
ALX3		MethylPlus	MethylPlus	low complexity motif
CDX4		MethylPlus	MethylPlus	MethylPlus
CDX4		MethylPlus	MethylPlus	MethylPlus
CEBPB		MethylPlus	Little effect	weak MethylPlus
CEBPE		MethylPlus	Little effect	weak MethylPlus
CEBPG		MethylPlus	Little effect	weak MethylPlus
EGR4		MethylPlus	Little effect	weak MethylPlus
				weak MethylPlus
EN1		MethylPlus	MethylPlus	low complexity motif
EN2		MethylPlus	MethylPlus	low complexity motif
ESR1		MethylPlus	MethylPlus	MethylPlus
ESR1		MethylPlus	MethylPlus	MethylPlus
FOXG1		MethylPlus	MethylPlus	low enrichment
FOXJ3		MethylPlus	Little effect	weak MethylPlus
GATA3		MethylPlus	Little effect	MethylPlus
GATA5		MethylPlus	Little effect	MethylPlus
GBX2		MethylPlus	MethylPlus	low complexity motif
GRHL1		MethylPlus	Little effect	weak MethylPlus
GSX2		MethylPlus	MethylPlus	low complexity motif
HLF		MethylPlus	MethylMinus	weak MethylPlus
HOXA1		MethylPlus	MethylPlus	low complexity motif
HOXA10		MethylPlus	MethylPlus	MethylPlus
HOXA10		MethylPlus	MethylPlus	weak MethylPlus
HOXA11		MethylPlus	MethylPlus	MethylPlus
HOXA13		MethylPlus	MethylPlus	MethylPlus
HOXA13		MethylPlus	MethylPlus	MethylPlus
HOXA2		MethylPlus	MethylPlus	low complexity motif
HOXA4		MethylPlus	MethylPlus	low complexity motif
HOXA5		MethylPlus	MethylPlus	low complexity motif
HOXA5		MethylPlus	MethylPlus	low complexity motif
HOXA6		MethylPlus	MethylPlus	low complexity motif
HOXA7		MethylPlus	MethylPlus	low complexity motif
HOXB1		MethylPlus	MethylPlus	low complexity motif
HOXB13		MethylPlus	MethylPlus	MethylPlus
HOXB2		MethylPlus	MethylPlus	low complexity motif
HOXB5		MethylPlus	MethylPlus	low complexity motif
HOXB5		MethylPlus	MethylPlus	low complexity motif
HOXB6		MethylPlus	MethylPlus	low complexity motif
HOXB7		MethylPlus	MethylPlus	low complexity motif
HOXB8		MethylPlus	MethylPlus	low complexity motif
HOXB9		MethylPlus	MethylPlus	MethylPlus
HOXC10		MethylPlus	MethylPlus	MethylPlus
HOXC10		MethylPlus	MethylPlus	weak MethylPlus
HOXC11		MethylPlus	MethylPlus	MethylPlus
HOXC11		MethylPlus	MethylPlus	weak MethylPlus
HOXC12		MethylPlus	MethylPlus	MethylPlus
HOXC13		MethylPlus	MethylPlus	MethylPlus
HOXC4		MethylPlus	MethylPlus	low complexity motif
HOXC8		MethylPlus	MethylPlus	low complexity motif
HOXC9		MethylPlus	MethylPlus	MethylPlus
HOXD1		MethylPlus	MethylPlus	low complexity motif
HOXD10		MethylPlus	MethylPlus	MethylPlus
HOXD11		MethylPlus	MethylPlus	MethylPlus
HOXD12		MethylPlus	MethylPlus	weak MethylPlus
HOXD13		MethylPlus	MethylPlus	MethylPlus
HOXD3		MethylPlus	MethylPlus	low complexity motif
HOXD4		MethylPlus	MethylPlus	low complexity motif
HOXD8		MethylPlus	MethylPlus	low complexity motif
HOXD9		MethylPlus	MethylPlus	MethylPlus
IRF2		MethylPlus	Little effect	weak MethylPlus
				weak MethylPlus
IRF6		MethylPlus	Little effect	weak MethylPlus
				weak MethylPlus
IRX1		MethylPlus	MethylPlus	weak MethylPlus
				weak MethylPlus
				weak MethylPlus
				MethylPlus
IRX3		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
				MethylPlus
				MethylPlus
IRX5		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
				MethylPlus
				MethylPlus
ISX		MethylPlus	MethylPlus	low complexity motif
ISX		MethylPlus	MethylPlus	low complexity motif
KLF10		MethylPlus	MethylPlus	weak MethylPlus
				weak MethylPlus
KLF11		MethylPlus	Little effect	weak MethylPlus
KLF12		MethylPlus	Little effect	weak MethylPlus
KLF12		MethylPlus	MethylPlus	not available
KLF13		MethylPlus	Little effect	weak MethylPlus
KLF13		MethylPlus	Little effect	weak MethylPlus
KLF14		MethylPlus	Little effect	weak MethylPlus
KLF15		MethylPlus	MethylPlus	weak MethylPlus
KLF16		MethylPlus	Little effect	weak MethylPlus
KLF17		MethylPlus	MethylPlus	weak MethylPlus
KLF6		MethylPlus	MethylPlus	weak MethylPlus
LBX2		MethylPlus	MethylPlus	low complexity motif
LHX4		MethylPlus	MethylPlus	low complexity motif
LHX5		MethylPlus	MethylPlus	low complexity motif
LHX6		MethylPlus	MethylPlus	low complexity motif
LHX9		MethylPlus	MethylPlus	low complexity motif
LHX9		MethylPlus	MethylPlus	low complexity motif
LMX1A		MethylPlus	MethylPlus	low complexity motif
LMX1B		MethylPlus	MethylPlus	low complexity motif
MEIS2		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
MEIS3		MethylPlus	MethylPlus	MethylPlus
				weak MethylPlus
MSX1		MethylPlus	MethylPlus	low complexity motif
MSX1		MethylPlus	MethylPlus	low complexity motif
MSX2		MethylPlus	MethylPlus	low complexity motif
MYF6		MethylPlus	Little effect	weak MethylPlus
NANOG		MethylPlus	MethylPlus	low complexity motif
NFAT5		MethylPlus	MethylPlus	weak MethylPlus
NFATC1		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
NFATC1		MethylPlus	MethylPlus	not available
NFATC2		MethylPlus	MethylPlus	weak MethylPlus
				weak MethylPlus
NFATC2		MethylPlus	MethylPlus	not available
NFATC3		MethylPlus	MethylPlus	MethylPlus
NFATC3		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
NFATC3		MethylPlus	MethylPlus	not available
NKX2-3		MethylPlus	MethylPlus	low complexity motif
NKX2-3		MethylPlus	MethylPlus	low complexity motif
NKX2-5		MethylPlus	MethylPlus	low complexity motif
NKX3-1		MethylPlus	MethylPlus	low complexity motif
NKX3-2		MethylPlus	MethylPlus	low complexity motif
NR1I3		MethylPlus	MethylPlus	MethylPlus
NR2C1		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
NR2F1		MethylPlus	MethylPlus	MethylPlus
NR2F6		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
NR2F6		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
NR3C2		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
PAX1		MethylPlus	Little effect	MethylPlus
				MethylPlus
				MethylPlus
PAX2		MethylPlus	Little effect	MethylPlus
				MethylPlus
				MethylPlus
PAX3		MethylPlus	Little effect	MethylPlus
				weak MethylPlus
PAX6		MethylPlus	Little effect	MethylPlus
				MethylPlus
PAX6		MethylPlus	Little effect	MethylPlus
				MethylPlus
PAX7		MethylPlus	Little effect and MethylMinus	MethylPlus
				MethylPlus
PAX8		MethylPlus	MethylPlus	MethylPlus
				MethylPlus
