	TF	cell line	AUROC
0	AR	CG_A549	
1	ARID3A	CG_A549	
2	ATF1	CG_A549	
3	ATF2	CG_A549	
4	ATF3	CG_A549	0.5997271353033765
5	ATF4	CG_A549	
6	ATF7	CG_A549	
7	BACH1	CG_A549	
8	BATF	CG_A549	
9	BATF3	CG_A549	
10	BCL11A	CG_A549	
11	BCL6	CG_A549	
12	BHLHE40	CG_A549	
13	CBFB	CG_A549	
14	CEBPA	CG_A549	
15	CEBPB	CG_A549	0.259658029182731
16	CEBPD	CG_A549	
17	CEBPG	CG_A549	
18	CEBPZ	CG_A549	
19	CREB3	CG_A549	
20	CREB3L1	CG_A549	
21	CREM	CG_A549	
22	CTCF	CG_A549	0.8360026509267201
23	CTCFL	CG_A549	
24	CUX1	CG_A549	
25	E2F1	CG_A549	
26	E2F4	CG_A549	
27	E2F6	CG_A549	0.6297376263418549
28	E2F8	CG_A549	
29	EBF1	CG_A549	
30	EGR1	CG_A549	
31	ELF1	CG_A549	0.6711392175331954
32	ELF3	CG_A549	
33	ELF4	CG_A549	
34	ELK1	CG_A549	
35	ELK4	CG_A549	
36	ERG	CG_A549	
37	ESRRA	CG_A549	0.5091038650236263
38	ETS1	CG_A549	0.7559368534241383
39	ETV1	CG_A549	
40	ETV4	CG_A549	
41	ETV5	CG_A549	
42	ETV6	CG_A549	
43	FOS	CG_A549	
44	FOSL1	CG_A549	0.7815381311209839
45	FOSL2	CG_A549	0.6538162655006134
46	FOXA2	CG_A549	0.6465502321575908
47	FOXA3	CG_A549	
48	FOXO3	CG_A549	
49	FOXP1	CG_A549	
50	GABPA	CG_A549	0.7482058039741124
51	GATA1	CG_A549	
52	GATA2	CG_A549	
53	GATA3	CG_A549	0.8137781636384986
54	GATA4	CG_A549	
55	GFI1B	CG_A549	
56	HES1	CG_A549	
57	HLF	CG_A549	
58	HNF1A	CG_A549	
59	HNF4A	CG_A549	
60	HNF4G	CG_A549	
61	HOMEZ	CG_A549	
62	HOXB13	CG_A549	
63	HSF1	CG_A549	
64	IRF1	CG_A549	
65	IRF2	CG_A549	
66	IRF3	CG_A549	
67	IRF4	CG_A549	
68	IRF5	CG_A549	
69	JUN	CG_A549	0.7861920989600704
70	JUNB	CG_A549	
71	JUND	CG_A549	0.5049240088872059
72	KLF1	CG_A549	
73	KLF13	CG_A549	
74	KLF16	CG_A549	
75	KLF5	CG_A549	
76	KLF6	CG_A549	
77	MAFF	CG_A549	
78	MAFK	CG_A549	0.6561987215819635
79	MAX	CG_A549	0.5397515399043279
80	MAZ	CG_A549	0.5385746794336361
81	MEF2A	CG_A549	
82	MEF2C	CG_A549	
83	MEIS2	CG_A549	
84	MGA	CG_A549	
85	MITF	CG_A549	
86	MLX	CG_A549	
87	MXI1	CG_A549	
88	MYB	CG_A549	
89	MYC	CG_A549	0.5901161644189166
90	NEUROD1	CG_A549	
91	NFATC1	CG_A549	
92	NFATC3	CG_A549	
93	NFE2	CG_A549	
94	NFE2L2	CG_A549	0.7661805090715148
95	NFIA	CG_A549	
96	NFIL3	CG_A549	
97	NFYA	CG_A549	
98	NFYB	CG_A549	
99	NFYC	CG_A549	
100	NKX2-1	CG_A549	0.6602808589555701
101	NR2C1	CG_A549	
102	NR2C2	CG_A549	
103	NR2F1	CG_A549	
104	NR2F6	CG_A549	
105	NR3C1	CG_A549	0.6713268374395723
106	NRF1	CG_A549	
107	PAX5	CG_A549	
108	PBX2	CG_A549	
109	PBX3	CG_A549	0.6243337451286938
110	PKNOX1	CG_A549	
111	PLAG1	CG_A549	
112	POU2F2	CG_A549	
113	PPARG	CG_A549	
114	PRDM1	CG_A549	
115	RBPJ	CG_A549	
116	RELA	CG_A549	
117	RELB	CG_A549	
118	REST	CG_A549	0.7878661954217769
119	RFX1	CG_A549	
120	RFX3	CG_A549	
121	RFX5	CG_A549	0.7743389690430809
122	RUNX1	CG_A549	
123	RUNX3	CG_A549	
124	RXRA	CG_A549	
125	RXRB	CG_A549	
126	SIX5	CG_A549	0.8775880523129411
127	SMAD1	CG_A549	
128	SMAD4	CG_A549	
129	SMARCC1	CG_A549	0.7857589622562916
130	SMARCC2	CG_A549	
131	SOX6	CG_A549	
132	SP1	CG_A549	0.5325869202105984
133	SP2	CG_A549	
134	SP5	CG_A549	
135	SPDEF	CG_A549	0.6108585246570497
136	SPI1	CG_A549	
137	SREBF1	CG_A549	0.11590524343213053
138	SREBF2	CG_A549	
139	SRF	CG_A549	
140	STAT1	CG_A549	
141	STAT2	CG_A549	
142	STAT3	CG_A549	
143	STAT5A	CG_A549	
144	TAL1	CG_A549	
145	TBX21	CG_A549	
146	TBX3	CG_A549	
147	TCF12	CG_A549	0.4875063543936093
148	TCF3	CG_A549	
149	TCF7	CG_A549	
150	TCF7L2	CG_A549	
151	TEAD1	CG_A549	
152	TEAD3	CG_A549	
153	TFAP4	CG_A549	
154	TFDP1	CG_A549	
155	TFE3	CG_A549	
156	TGIF2	CG_A549	
157	THAP1	CG_A549	
158	THRB	CG_A549	
159	TP53	CG_A549	0.8020449459531602
160	TP73	CG_A549	
161	USF1	CG_A549	0.6853881442497043
162	USF2	CG_A549	0.8215065484297569
163	YY1	CG_A549	0.7554932961391804
164	YY2	CG_A549	
165	ZBED1	CG_A549	
166	ZBTB33	CG_A549	
167	ZBTB7A	CG_A549	
168	ZEB1	CG_A549	
169	ZFX	CG_A549	
170	ZKSCAN1	CG_A549	
171	ZNF143	CG_A549	
172	ZNF148	CG_A549	
173	ZNF263	CG_A549	
174	ZNF274	CG_A549	
175	ZNF282	CG_A549	
176	ZNF384	CG_A549	
177	ZNF589	CG_A549	
178	ZNF652	CG_A549	
179	ZNF740	CG_A549	
180	ZNF75A	CG_A549	
181	AR	nonCG_A549	
182	ARID3A	nonCG_A549	
183	ATF1	nonCG_A549	
184	ATF2	nonCG_A549	
185	ATF3	nonCG_A549	0.6015410737576818
186	ATF4	nonCG_A549	
187	ATF7	nonCG_A549	
188	BACH1	nonCG_A549	
189	BATF	nonCG_A549	
190	BATF3	nonCG_A549	
191	BCL11A	nonCG_A549	
192	BCL6	nonCG_A549	
193	BHLHE40	nonCG_A549	
194	CBFB	nonCG_A549	
195	CEBPA	nonCG_A549	
196	CEBPB	nonCG_A549	0.7328265180849941
197	CEBPD	nonCG_A549	
198	CEBPG	nonCG_A549	
199	CEBPZ	nonCG_A549	
200	CREB3	nonCG_A549	
201	CREB3L1	nonCG_A549	
202	CREM	nonCG_A549	
203	CTCF	nonCG_A549	0.845999000285203
204	CTCFL	nonCG_A549	
205	CUX1	nonCG_A549	
206	E2F1	nonCG_A549	
207	E2F4	nonCG_A549	
208	E2F6	nonCG_A549	0.5569589437499588
209	E2F8	nonCG_A549	
210	EBF1	nonCG_A549	
211	EGR1	nonCG_A549	
212	ELF1	nonCG_A549	0.7138610067384847
213	ELF3	nonCG_A549	
214	ELF4	nonCG_A549	
215	ELK1	nonCG_A549	
216	ELK4	nonCG_A549	
217	ERG	nonCG_A549	
218	ESRRA	nonCG_A549	0.6040972732396099
219	ETS1	nonCG_A549	0.893183932395434
220	ETV1	nonCG_A549	
221	ETV4	nonCG_A549	
222	ETV5	nonCG_A549	
223	ETV6	nonCG_A549	
224	FOS	nonCG_A549	
225	FOSL1	nonCG_A549	0.6772599366612325
226	FOSL2	nonCG_A549	0.7179192122230501
227	FOXA2	nonCG_A549	0.6912211209243004
228	FOXA3	nonCG_A549	
229	FOXO3	nonCG_A549	
230	FOXP1	nonCG_A549	
231	GABPA	nonCG_A549	0.6695133053788566
232	GATA1	nonCG_A549	
233	GATA2	nonCG_A549	
234	GATA3	nonCG_A549	0.7230666533188602
235	GATA4	nonCG_A549	
236	GFI1B	nonCG_A549	
237	HES1	nonCG_A549	
238	HLF	nonCG_A549	
239	HNF1A	nonCG_A549	
240	HNF4A	nonCG_A549	
241	HNF4G	nonCG_A549	
242	HOMEZ	nonCG_A549	
243	HOXB13	nonCG_A549	
244	HSF1	nonCG_A549	
245	IRF1	nonCG_A549	
246	IRF2	nonCG_A549	
247	IRF3	nonCG_A549	
