methyl,region,cell,TF,size,yes,pwm,value,auc
array,body,A549,BHLHE40,1476.0,13.0,0.4957673905042327,0.8996529786003471,0.8996529786003471
array,body,A549,BRCA1,483.0,18.0,0.8026881720430108,0.9025089605734766,0.9025089605734766
array,body,A549,CEBPB,73.5,45.0,0.46435354378291277,0.4479475410779546,0.4479475410779546
array,body,A549,CREB1,641.5,22.0,0.6673662376342941,0.9090665098669567,0.9090665098669567
array,body,A549,CTCF,2640.3333333333335,968.3333333333334,0.8210346358443287,0.8196382572879503,0.8196382572879503
array,body,A549,E2F6,1607.0,12.0,0.5248693834900732,0.794932079414838,0.794932079414838
array,body,A549,ELF1,730.0,31.0,0.6465688310489639,0.9056255480179056,0.9056255480179056
array,body,A549,FOSL2,342.0,27.0,0.6423747167757169,0.8015414221277098,0.8015414221277098
array,body,A549,FOXA2,148.0,14.5,0.7065002393024334,0.8181058464575762,0.8181058464575762
array,body,A549,GABPA,883.0,14.0,0.8306756534604636,0.9213381555153708,0.9213381555153708
array,body,A549,JUN,195.0,6.0,0.8500881834215167,0.8694885361552028,0.8694885361552028
array,body,A549,MAFK,102.5,11.5,0.6168552036199095,0.5895927601809955,0.5895927601809955
array,body,A549,MAX,545.0,21.0,0.4351955443187069,0.8931823518338358,0.8931823518338358
array,body,A549,MAZ,7309.0,36.5,0.5018116572745068,0.8902718812029209,0.8902718812029209
array,body,A549,MYC,1837.0,19.0,0.5086850790342192,0.8910312083839963,0.8910312083839963
array,body,A549,NFE2L2,398.0,11.0,0.8958186516326051,0.7514681700728212,0.7514681700728212
array,body,A549,NR3C1,252.0,27.5,0.660335281337003,0.6679174433455877,0.6679174433455877
array,body,A549,REST,720.0,11.0,0.8627388126682908,0.7951019361456597,0.7951019361456597
array,body,A549,SMARCC1,802.0,14.0,0.7910623640319072,0.9147933284989124,0.9147933284989124
array,body,A549,SP1,2260.5,10.5,0.45514732653898726,0.7616712255432854,0.7616712255432854
array,body,A549,USF1,831.0,104.0,0.6804366466099043,0.8867492332059533,0.8867492332059533
array,body,A549,USF2,1359.5,93.0,0.7255289821449186,0.8723528144262371,0.8723528144262371
array,body,A549,YY1,340.0,8.0,0.5208960843373494,0.9164156626506024,0.9164156626506024
array,body,A549,ZBTB33,764.0,20.0,0.7039986559139786,0.8532930107526882,0.8532930107526882
array,body,GM12878,ATF2,445.5,31.5,0.789425505050505,0.7442409673659673,0.7442409673659673
array,body,GM12878,ATF3,844.5,16.5,0.7835577061019942,0.909458233563297,0.909458233563297
array,body,GM12878,ATF7,256.0,26.5,0.7856592602521764,0.8179309982823413,0.8179309982823413
array,body,GM12878,BATF,118.0,13.0,0.5271062271062271,0.8967032967032967,0.8967032967032967
array,body,GM12878,BHLHE40,1192.0,129.5,0.5709977612931795,0.7817004828456451,0.7817004828456451
array,body,GM12878,BRCA1,462.0,18.0,0.7793418418418419,0.8453453453453453,0.8453453453453453
array,body,GM12878,CBFB,288.0,6.0,0.4961583924349882,0.8244680851063829,0.8244680851063829
array,body,GM12878,CEBPB,80.0,7.0,0.8238747553816048,0.5342465753424658,0.5342465753424658
array,body,GM12878,CREB1,594.0,26.0,0.7049890208127202,0.8627755645819228,0.8627755645819228
array,body,GM12878,CREM,554.0,18.5,0.6845494897831801,0.9466044990387736,0.9466044990387736
array,body,GM12878,CTCF,2280.3333333333335,716.6666666666666,0.8195224668334041,0.7966328830010648,0.7966328830010648
array,body,GM12878,E2F4,1714.0,8.0,0.7479484173505275,0.8414419695193435,0.8414419695193435
array,body,GM12878,EBF1,187.0,9.0,0.5455680399500624,0.5755305867665418,0.5755305867665418
array,body,GM12878,EGR1,5876.666666666667,205.33333333333334,0.7249340172229081,0.8202214621156516,0.8202214621156516
array,body,GM12878,ELF1,495.0,38.0,0.6344694896675247,0.8271179683994809,0.8271179683994809
array,body,GM12878,ETV6,797.5,18.0,0.6838718453702726,0.855554810747393,0.855554810747393
